handle_id,actor_id_ground_truth,handle_name,marketplace,pgp_fingerprint,category,created_date,last_active_date,status
H00063,A00045,ghoenphantom,marketplace_12,6535AA98B3B4049BFDA5364763DE2340FB9B4EA5,arms,2023-02-19,2023-07-27,active
H00064,A00046,threxfang,marketplace_4,94642D320FD16311F38129033665B0248BB57230,money_laundering,2023-08-16,2023-10-30,burned
H00065,A00047,hexentrace,marketplace_7,36FB5E35BCD67D3A3E34FB912AF3C9E9E7D9D62F,money_laundering,2023-10-16,2024-01-21,active
H00066,A00048,kryathmarket,marketplace_16,234CC352B6A6C37DF88CBFCF84E338FF740312F0,stolen_data,2024-11-19,2025-01-21,active
H00067,A00049,obsulwraith,marketplace_11,2FE69FF8A01D3CEACEE11595FD49CF3FFF51C8FC,stolen_data,2023-06-06,2023-11-18,burned
H00068,A00050,obsocode,marketplace_10,BB0AC3DBBDB177792293A50A1EDD80F0ACCA3F36,drugs,2023-03-04,2023-03-28,active
H00069,A00050,ravylnode,marketplace_11,9BD6F269819C723A82FD6B299DA6DC8E505F6E8D,drugs,2024-05-23,2025-02-14,burned
H00070,A00051,nyxexfang,marketplace_2,49DDA26D89587C7346079EFDD1658408851F012A,arms,2023-07-25,2024-02-06,burned
H00071,A00051,cyorhex99,marketplace_17,2C47338F273AAC7D643568ED81FB3ADF784BFB90,arms,2023-11-02,2025-01-28,burned
H00072,A00052,ravarvoid,marketplace_2,C9B37EC0C8927965EAD182FFDAD3582BDAE015E4,money_laundering,2024-12-08,2026-04-01,active
H00073,A00053,cyanode,marketplace_10,74DAEF485A962DB5CC70072E6851CD842B530DEF,drugs,2023-11-18,2024-09-17,active
H00074,A00054,thringhost,marketplace_7,FC4D6696D5D40987E7BE20F4AC6CD82311A7FB10,stolen_data,2023-07-15,2024-11-20,active
H00075,A00055,vexylcode,marketplace_13,1585FAE42AD483A14F8BD988AD5AF4E1641751F8,other_illicit,2023-11-06,2024-06-05,active
H00076,A00056,nyxo_v2,marketplace_14,BFEF343B269558605D27F3A093CB3A402EFE80A1,drugs,2025-07-05,2026-11-01,burned
H00077,A00056,noculcode,marketplace_4,619A12C2C857C2065CC9439FD94B3B6FECF8D2DB,drugs,2024-04-08,2024-10-01,burned
H00078,A00057,zeryl_v2,marketplace_14,74F29ED2F94497D91213DD3E8B8203E55C12D9AE,terror_financing,2023-04-06,2023-05-06,dormant
H00079,A00058,threxstorm,marketplace_9,5283D00C305FECF9BC92440630606F47D629E4FD,drugs,2023-12-16,2025-04-09,active
H00080,A00059,nyxathdealer,marketplace_5,0E769C1A03DDF91FCFF710DA28DF3FBED0596FBE,money_laundering,2025-01-26,2026-01-30,active
H00081,A00060,vorul_v2,marketplace_19,49CDBF5692F4565F3DF97610B8B5512AD3737F8A,other_illicit,2025-07-19,2026-07-14,active
H00082,A00061,threnwraith,marketplace_18,1EE33313536B59EF34BA436ED07FA9528BDB74D7,other_illicit,2025-07-06,2025-10-01,active
H00083,A00061,kryor_v2,marketplace_9,B0E4022AAC5D1C1419DC9AB084CE6EBC6921AC49,other_illicit,2025-04-01,2025-11-16,active
H00084,A00062,vorextrace,marketplace_18,0879D31B8B313E90EA77B994C73A6BE34DD221D4,other_illicit,2023-11-16,2024-08-18,dormant
H00085,A00063,zerormarket,marketplace_3,C8FDEFD544FE436EF15B3D33B9143B9B99F044D1,stolen_data,2024-01-14,2025-01-04,active
H00086,A00064,nyxowraith,marketplace_7,B21DF9EACF44EEE4A2DC7CA1E8250932616F0350,hacking_services,2025-04-18,2026-05-11,active
H00087,A00064,neoul_v2,marketplace_6,2AC1F0AD5D0AC823359458249D51A5019C3A4DA8,hacking_services,2025-03-16,2025-07-09,dormant
H00088,A00065,obsulfang,marketplace_4,FC381AED2F0D7083749DE264B57DE10E9501F88C,stolen_data,2023-09-03,2024-10-02,active
H00089,A00065,neoulmarket,marketplace_2,915292C348D6AA8E87AA6EA040F005DFC220E3BC,stolen_data,2025-05-12,2026-04-10,burned
H00090,A00065,darkowraith,marketplace_7,EB6E0708B62977FB18F606C38F5652424878608E,stolen_data,2024-01-02,2024-07-28,active
H00091,A00066,ghoamarket,marketplace_2,EFB1718DEA0C6A207D2765A9230FD0A873F7A1A7,other_illicit,2025-05-14,2025-12-18,active
H00092,A00066,obsathwraith,marketplace_11,E3211CA241E19D23119CC3D70ECED3A0EA633026,other_illicit,2025-03-05,2026-01-16,burned
H00093,A00066,zerinhex99,marketplace_14,DFE5741149DB944F9A9B04171DB6662A6FEAA9DA,other_illicit,2023-05-10,2024-04-10,active
H00094,A00067,hexofang,marketplace_2,7E67FAC6C50B02B0349E6B106695785A75605830,other_illicit,2024-05-22,2024-09-21,active
H00095,A00068,neoin_v2,marketplace_4,7BB5D234466CBAD71694A7184F62F25CBFE5ABFF,money_laundering,2023-12-13,2025-04-15,dormant
H00096,A00069,ravulbyte,marketplace_13,676E7C69DC5B82429EB71EADEEDDBFA8C05E782B,stolen_data,2024-10-15,2026-02-08,active
H00097,A00070,vexavoid,marketplace_17,7332B16A6A898648099BCC0F4C776F7EEA2A6DD6,stolen_data,2024-06-09,2025-03-25,dormant
H00098,A00071,darkulcode,marketplace_18,90FBA7DDC9A0144ACC6C2C6F3AE925351F0562C9,terror_financing,2023-01-31,2023-08-20,active
H00099,A00072,shadylmarket,marketplace_17,05ADC534DF2C6469DF596E8604E2C7AFEE129EB9,stolen_data,2023-03-13,2023-11-10,dormant
H00100,A00073,darkul99,marketplace_6,EC53C1758926FD3B23ADE5861E02ECAC6C10834A,terror_financing,2024-03-01,2024-07-16,dormant
H00101,A00074,vexar_v2,marketplace_3,4F85503593C52084EB5616E13C9E101C67B7620D,hacking_services,2023-03-26,2024-01-10,active
H00102,A00075,hexanode,marketplace_11,51D3AA66CD3763BA50CA0C6E728B126D9F3583AC,other_illicit,2023-08-14,2024-12-26,active
H00103,A00075,vexyldealer,marketplace_7,2A0EC7070397D7214BF964C617EA48A1D907AA76,other_illicit,2023-12-07,2024-03-15,burned
H00104,A00075,hexarfang,marketplace_3,CA5E02F26146425672DE9567D5799E68F2BCC5FE,other_illicit,2023-02-25,2024-06-13,dormant
H00105,A00076,thrathtrace,marketplace_14,CD29458CE9E9CF2A4F64600BFCDCBCF92D13C56D,terror_financing,2025-02-17,2025-05-17,active
H00106,A00077,vexylbyte,marketplace_12,CD77F1B048E4875032CC26D5D89C9D23B486C905,other_illicit,2024-12-27,2025-09-13,dormant
H00107,A00077,cyormarket,marketplace_17,D9D55B546F53E6561568DE35292C382A07FF3018,other_illicit,2023-01-02,2023-03-02,active
H00108,A00078,ravox,marketplace_2,8FFADABAA7BCC1BA30EC40387BEFD60A0B1AE7FC,stolen_data,2023-08-05,2024-05-08,burned
H00109,A00078,vorordealer,marketplace_4,3C96414F29E5E3F776523D05AC878F34F2A72ACC,stolen_data,2025-03-24,2025-05-14,burned
H00110,A00079,ghoawraith,marketplace_14,2A63B4AC0916CDAB473C0EA497FE4941A938F6F9,arms,2023-09-23,2023-12-01,dormant
H00111,A00079,vorexstorm,marketplace_8,715FC950CADFBCC2996C34A19E54EF946660B34C,arms,2023-03-02,2024-04-29,dormant
H00112,A00079,darkowraith,marketplace_19,BF513AD4C7137CF95C2EC8EB03323F70F835CFD9,arms,2024-11-26,2026-02-09,burned
H00113,A00080,hexennode,marketplace_11,C0CF2363550EA31465281239B5D07919E4FAB631,drugs,2023-03-07,2024-03-16,active
H00114,A00081,thrarcode,marketplace_5,6B84D288C5CE28D46286B5D4ADC072833D2A2BA8,hacking_services,2023-11-03,2025-01-24,active
H00115,A00082,kryarx,marketplace_8,3359F3B98315AC5BCF480444C81B7DE5EBE98D79,other_illicit,2023-01-11,2023-03-12,active
H00116,A00082,kryylphantom,marketplace_9,22725129F0D4FF3C060DB71E5752B4B1DFC5B3A7,other_illicit,2025-08-28,2026-02-10,burned
H00117,A00083,ghoinstorm,marketplace_4,0C691EF1B0EA9B30B5CB03DF624D3F0487FCB9BD,drugs,2023-11-03,2024-07-17,active
H00118,A00083,ghoa_v2,marketplace_10,E54BD0B636914CDA156F83DFF4ACC433044B071A,drugs,2024-07-03,2025-09-01,dormant
H00119,A00084,nyxa99,marketplace_1,74578387D6F3564734C1864D0621CD977ADF1D19,money_laundering,2023-10-24,2024-03-26,active
H00120,A00084,ghoyl99,marketplace_14,7A15101A69F83D58FBA93304ABBB786C2343166E,money_laundering,2023-10-03,2024-04-16,active
H00121,A00084,zerulraven,marketplace_16,9F64146D8BBE3D2FD05849116CF25ECCC8650560,money_laundering,2023-03-18,2024-07-22,burned
H00122,A00085,thrarghost,marketplace_17,83571791484817630BBA284D9A10B785803C86E7,other_illicit,2023-09-23,2024-03-06,active
H00123,A00086,throrcode,marketplace_19,E7DB4F2F5E556F590955C6242D7EC3403CC03014,terror_financing,2024-10-06,2025-12-03,active
H00124,A00087,obsotrace,marketplace_9,3A264FE59AF4718301393D40707DC4B97C3F5373,other_illicit,2025-08-19,2026-07-16,active
H00125,A00087,obsylwraith,marketplace_5,B2145DA5D499B38FB82044A4CEF23D842A45CBAF,other_illicit,2024-01-01,2024-02-19,dormant
H00126,A00088,vexylcode,marketplace_14,7CDFF7C2D727B060BF431BB49E4D7671434C0DB1,arms,2024-09-08,2025-10-29,active
H00127,A00089,thrextrace,marketplace_3,4B42720D45F49FDAE093411550CDE897D582C46C,arms,2025-05-07,2026-03-17,burned
H00128,A00089,kryexphantom,marketplace_16,EFACC51BD68332BA0795326096617821F11A290B,arms,2023-02-27,2023-06-29,active
H00129,A00090,nocylcode,marketplace_17,3AD340CF1954E227645AE4A9BD1C7624F30492F3,stolen_data,2025-02-08,2025-09-06,dormant
H00130,A00090,hexinnode,marketplace_7,28BB225E8F8E43F1B9CD4EBAB2DE81170439C5C2,stolen_data,2023-11-18,2024-02-22,active
H00131,A00090,nyxahex99,marketplace_11,EEE3253CD6CA2AAF6F38E14F46A1C1BDF6160D88,stolen_data,2024-02-02,2025-05-04,active
H00132,A00091,cyin_v2,marketplace_3,D68512DA956BDFF5DBC0624AA04E4FA3D80E4E31,other_illicit,2023-10-08,2024-05-12,active
H00133,A00092,ravexx,marketplace_7,6B660BB0993FEDDBBDA35EDB55DC9D932320D3F3,hacking_services,2024-12-14,2025-09-29,dormant
H00134,A00092,ravoghost,marketplace_14,D67EC36F3BEDC0B79889D70D1004BAA5D7C6C1D4,hacking_services,2024-05-30,2025-04-02,dormant
H00135,A00093,kryarwraith,marketplace_6,43C85A6220D0402C04EB577967C81824033E3349,hacking_services,2024-06-13,2024-09-12,active
H00136,A00093,cyadealer,marketplace_13,B6C3F0D2F26DCAE5590513ABF058360046B360A4,hacking_services,2025-07-05,2025-10-15,active
H00137,A00093,nocexvoid,marketplace_11,8F62B9EFDC68568C3956FDED8A3CD6BB2E518D9B,hacking_services,2023-03-27,2024-04-12,dormant
H00138,A00094,kryexhex99,marketplace_6,726BB4A30A0A6EA72C966382DDAA661FF18D33E5,arms,2025-04-08,2025-09-30,burned
H00139,A00095,shadintrace,marketplace_13,0E94C11A02F3D98ABC2AF1C9EF3B3071043AD752,other_illicit,2023-08-31,2024-07-01,active
H00140,A00096,nocovoid,marketplace_12,131928AC854E34A4DE37FF8AF72892B7622F1606,money_laundering,2023-01-06,2024-05-08,dormant
H00141,A00096,neoathwraith,marketplace_18,A6A9E4347BCE6C628D5934E3370E580FEB832BD6,money_laundering,2025-04-18,2025-11-11,active
H00142,A00097,shadathvoid,marketplace_14,B31CD696C58FD31737311872387CCC378F656B99,hacking_services,2024-06-04,2024-12-01,active
H00143,A00098,obsathghost,marketplace_17,75A255AE40FDA058250BF0F7F3109754339AEFB8,hacking_services,2025-07-18,2026-07-21,dormant
H00144,A00099,vorinraven,marketplace_15,F3804D74BF07DB626C38E58BACD8961A3DEB930F,stolen_data,2023-01-14,2024-03-22,active
H00145,A00100,obsennode,marketplace_5,9F9290E16931F90DB0184B942846D2971FB7CDC3,arms,2024-06-19,2024-11-24,active
H00146,A00101,vexylcode,marketplace_20,684D69929E5CD34EABEBDEDDE00D2497B491C4C0,other_illicit,2024-07-31,2025-03-21,dormant
H00147,A00101,thren_v2,marketplace_10,12183A39FA13164F474990F6320433763F0EC139,other_illicit,2025-04-06,2026-05-11,dormant
H00148,A00101,thrarvoid,marketplace_6,E3D4054756FF993FB8CC3EDD409E3C091E1B4EE8,other_illicit,2024-05-10,2024-08-22,active
H00149,A00102,hexenx,marketplace_12,254BAE489C2FCF584ABC2105733FFA7735CD2183,money_laundering,2023-08-04,2024-02-08,active
H00150,A00102,cyathhex99,marketplace_17,05A3EC4668FE9765D62036140BD2A5F66FBB42ED,money_laundering,2025-05-17,2026-06-14,dormant
H00151,A00102,obsacode,marketplace_19,933F71A0798CB259279C13F801AD86A146A17F21,money_laundering,2025-06-13,2025-07-29,active
H00152,A00103,darkinbyte,marketplace_14,31F7BDF970106C0F1CC4DD43E3BB6AD177207D10,terror_financing,2024-05-05,2025-09-11,active
H00153,A00103,cyocode,marketplace_3,E591AB794CF32286FB7E9B978A31BDF82647963B,terror_financing,2025-04-12,2025-05-21,active
H00154,A00103,nocath_v2,marketplace_18,30F188C9218CF0CCE176C5D191B0A860ADD13C9E,terror_financing,2023-02-06,2023-06-16,dormant
H00155,A00104,ghoexx,marketplace_19,E74088279AC18B88039A85EE0E0E1BF6D128A2E5,stolen_data,2025-02-26,2025-11-28,active
H00156,A00105,darkarnode,marketplace_9,417315EA171880B17B32E3276ABD2D940ABADBF9,money_laundering,2025-06-08,2026-02-26,burned
H00157,A00105,voroghost,marketplace_20,4036AB6C14C227D31FEA8697A7B7EA37EDB2B2BF,money_laundering,2023-02-01,2023-05-04,burned
H00158,A00106,threxfang,marketplace_14,D489AA32DD4F65E053D8F341D0524CDB4C793AA3,terror_financing,2023-08-24,2024-06-20,active
H00159,A00107,kryath99,marketplace_12,9F45240BECAE58379FA1D9ACA5416D8A3B95398F,stolen_data,2024-04-04,2025-07-24,dormant
H00160,A00108,hexinwraith,marketplace_6,7843650160F0B69DE4E933EDF82483B272A5A8E2,other_illicit,2023-10-23,2025-02-24,active
H00161,A00109,nocenraven,marketplace_2,61074C768F4F5F946260D2F651D8C7BF5979FFCB,hacking_services,2023-04-13,2024-08-12,burned
H00162,A00109,cyarwraith,marketplace_14,9DEA7D35EA3BC4FFD70986D1A8ADCEDC818F7A19,hacking_services,2024-05-07,2024-10-15,dormant
H00163,A00110,zerarwraith,marketplace_19,A400C2AB216B65C795BAD670103CF1599077183C,stolen_data,2025-06-15,2025-09-18,dormant
H00164,A00111,cyamarket,marketplace_9,D0043C69AD098E638FC9D27D8F97C0FCB3E70C7E,terror_financing,2025-06-01,2025-07-24,active
H00165,A00112,vorexphantom,marketplace_4,356F724CF71F8D9A41AD086FFA7AEF23D2C40535,stolen_data,2024-10-20,2025-04-07,active
H00166,A00113,kryathnode,marketplace_4,F4DC093D98AB5496B8FE6A45F0AD54F209663EA3,drugs,2023-02-09,2024-05-17,active
H00167,A00114,vorenfang,marketplace_20,B0689D9BC86243685834CA8F650762445F0A214E,stolen_data,2023-06-10,2023-07-24,dormant
H00168,A00115,cyarx,marketplace_11,CCFB9A26584DEF83DB50BEBD66CB506EB609A3B8,drugs,2024-05-27,2025-06-30,burned
H00169,A00115,obsinbyte,marketplace_10,8FC18810FEF5F31B04542D31E1A3860AA5B0CD12,drugs,2025-08-01,2025-08-17,active
H00170,A00116,cyex_v2,marketplace_17,186D5098B3AE2E232525A0506BE2796491C9584A,hacking_services,2025-01-16,2025-06-11,dormant
H00171,A00116,neoinstorm,marketplace_5,598E82FBBBE51C46DB96A82686E8135F4EABC1A3,hacking_services,2023-08-20,2024-10-30,active
H00172,A00117,vorylwraith,marketplace_1,5B95E50EEDCF78BAFC9173DD8C0559644A1294BE,arms,2024-03-07,2024-11-15,dormant
H00173,A00117,shadexstorm,marketplace_6,5992576D274B0F5B3FC6FCE73C4A4CA9DC2BF075,arms,2023-06-19,2024-02-19,active
H00174,A00118,shadulx,marketplace_11,274F6169D2AC5D499CF18D55C3E2B3C05A4CE0FC,money_laundering,2024-05-28,2025-08-02,dormant
H00175,A00119,vexa_v2,marketplace_10,BFAB35DC240A86ED1E913FEB1B8DA90859BD0EA9,terror_financing,2023-09-22,2024-10-15,active
H00176,A00119,vorox,marketplace_14,752344FD8BE7E12AB143C2A9DC0582D368971BF6,terror_financing,2024-09-02,2024-11-08,dormant
H00177,A00120,vexox,marketplace_6,5980D60D488EA3770A729EDACF0AAABE4EF65C8C,stolen_data,2023-10-11,2024-07-03,active
H00178,A00121,zerylphantom,marketplace_19,6B99AEE045BDD09F7C4C33C663955CDB6D8AB3AC,arms,2024-10-08,2025-06-24,active
H00179,A00121,nyxathghost,marketplace_3,E55C90AE53CDDD60742D0A75F2B0C65EB75F6A49,arms,2025-05-29,2025-12-31,active
H00180,A00122,neoul_v2,marketplace_7,75E3A57E201DFC2D830EF19C1BCED334835BDA47,money_laundering,2024-04-17,2024-12-18,dormant
H00181,A00122,cyylphantom,marketplace_19,EF78A9EAE88144907BB9959FE94449C87069408B,money_laundering,2023-08-04,2023-12-27,burned
H00182,A00123,hexexhex99,marketplace_17,4ABCF5F5FC02A79674836BFE076B1C3A2821E778,drugs,2024-05-03,2025-03-25,active
H00183,A00123,vexarfang,marketplace_13,E5188262491677FE31A26F3E2F636F90D3E6E08D,drugs,2024-12-07,2026-04-10,burned
H00184,A00124,nyxenghost,marketplace_6,987A89E35F0AFF552D93EA5637699AF3964A56C5,stolen_data,2023-12-03,2024-08-28,active
H00185,A00125,zerath99,marketplace_6,878F9B49ABAE9DCD0C1DB4E806689B0ADCA66E83,hacking_services,2023-11-30,2025-04-12,active
H00186,A00126,noculdealer,marketplace_11,1CF78C131A8BE93F42AD44962E7A89042ABE65AE,hacking_services,2025-01-10,2025-09-22,active
H00187,A00127,nocinvoid,marketplace_11,043DDCF11B0D1AF9A222352E62D8EE4A25AED0C9,drugs,2023-07-23,2024-07-13,active
H00188,A00128,neoyl99,marketplace_13,487AE6B4646953014B2AA76695D876B04E3C0E6C,drugs,2023-01-20,2023-02-03,active
H00189,A00129,ravorwraith,marketplace_13,253563FBAD662BF83E00CDC3BB92D972CF08A147,other_illicit,2023-07-23,2023-11-15,active
H00190,A00130,darkathbyte,marketplace_5,169BD5D5545B350F69CB8A00A0F14D1C5530B72D,hacking_services,2024-06-15,2024-09-12,active
H00191,A00131,thren_v2,marketplace_16,409FF84AB3FF64744723C9377859AE84ADB41C16,other_illicit,2024-04-20,2024-11-28,active
H00192,A00132,neoexx,marketplace_2,A0FFB6CE6E8E38AA58AFE3A82BD0437E3394B9ED,arms,2025-05-05,2026-06-25,burned
H00193,A00133,hexenstorm,marketplace_3,4706B41B75B53574D681C9CDFEA490289621D44F,hacking_services,2024-02-12,2025-04-16,active
