indicator_id,actor_id_ground_truth,onion_address,leak_type,cert_fingerprint,clearnet_match_domain,confidence_hint,scan_date
I00020,A00347,gjtcm3bhl6l5ag73.onion,ssl_cert_reuse,58:04:C7:AD:EB:A5:31:1C:42:DD:F1:64:7E:4B:06:91:12:F1:9E:C9,host-20.example-clearnet.net,0.54,2026-07-28
I00021,A00479,fydybmj2flqqmo4t.onion,default_banner,,host-21.example-clearnet.net,0.67,2026-07-16
I00022,A00005,llpgmf5gipd3wwmm.onion,default_banner,,host-22.example-clearnet.net,0.57,2026-01-28
I00023,A00496,7efvmx6oannqeyat.onion,descriptor_timing,,host-23.example-clearnet.net,0.44,2026-02-15
I00024,A00460,g6enl7hr7gfuypa2.onion,ssl_cert_reuse,DD:26:35:34:E8:DC:7A:3C:24:69:D3:24:C6:66:11:DB:44:70:08:C7,host-24.example-clearnet.net,0.69,2026-07-21
I00025,A00272,2wu3f3frciekbmal.onion,descriptor_timing,,host-25.example-clearnet.net,0.86,2026-01-24
I00026,A00099,bwlw4orvancnjqrd.onion,ssl_cert_reuse,2A:85:52:96:56:0F:8E:9B:68:03:1E:91:4B:F6:BE:51:9C:DE:9D:97,host-26.example-clearnet.net,0.46,2025-11-15
I00027,A00177,6ql7be5kov5dz32w.onion,default_banner,,host-27.example-clearnet.net,0.49,2026-07-20
I00028,A00003,3b76u77mxrs2prlx.onion,exposed_status_page,,,0.43,2025-02-04
I00029,A00052,bk4ngp5i2veiuuv6.onion,exposed_status_page,,,0.82,2025-10-11
I00030,A00195,4pdimi5g6wl63amb.onion,ssl_cert_reuse,9B:35:E3:DE:2C:27:F1:33:30:E6:BB:5F:8B:34:E2:0B:66:9E:E8:3B,,0.61,2026-03-31
I00031,A00134,b3t52ivz4kpmtye5.onion,ssl_cert_reuse,FF:21:51:6F:D8:33:9E:8F:2E:6C:8F:D7:58:CE:2D:BB:27:25:FF:62,host-31.example-clearnet.net,0.86,2026-07-03
I00032,A00377,fwarmzgiguhynsvf.onion,exposed_status_page,,,0.47,2026-01-11
I00033,A00525,2p5gb4mmv2emavjs.onion,descriptor_timing,,,0.86,2025-04-05
I00034,A00390,dopnoffk45qqvl73.onion,descriptor_timing,,host-34.example-clearnet.net,0.69,2026-05-03
I00035,A00586,gbk3jitwdr6jgvwy.onion,exposed_status_page,,host-35.example-clearnet.net,0.68,2025-12-28
I00036,A00200,n5qv7n3rhqizsahf.onion,ssl_cert_reuse,25:01:52:0E:D7:CC:04:0A:30:65:53:5B:4B:B5:04:26:A4:77:4A:AF,host-36.example-clearnet.net,0.63,2026-02-01
I00037,A00578,mdkowzaddabrzmwj.onion,default_banner,,host-37.example-clearnet.net,0.67,2026-05-20
I00038,A00032,fjit5jkhpiwb7zgi.onion,exposed_status_page,,host-38.example-clearnet.net,0.76,2025-06-25
I00039,A00181,6akqxkxloss2onkf.onion,ssl_cert_reuse,28:F1:22:F4:7C:72:03:1E:D4:7F:BB:DE:35:61:2D:F9:71:43:40:DC,host-39.example-clearnet.net,0.81,2026-04-08
I00040,A00082,oxspjyt2rhiy2pbv.onion,descriptor_timing,,host-40.example-clearnet.net,0.69,2025-10-03
I00041,A00422,ece5warx22dnu3lm.onion,ssl_cert_reuse,4A:AB:F2:F9:C6:4B:38:DE:9E:14:6E:BC:31:85:88:C4:92:DF:8E:8B,,0.7,2026-08-02
I00042,A00531,ycqmhieghtxc3g43.onion,exposed_status_page,,host-42.example-clearnet.net,0.77,2026-08-28
I00043,A00488,avmr6w4qsuedgwqv.onion,default_banner,,host-43.example-clearnet.net,0.57,2025-08-05
I00044,A00029,qg4x7kndzei2sryw.onion,default_banner,,,0.67,2026-07-11
I00045,A00067,5iq2mujlh2oo7xmz.onion,ssl_cert_reuse,86:5C:B6:FD:49:12:83:55:A9:E0:78:62:5C:95:52:E8:98:BC:F6:43,host-45.example-clearnet.net,0.46,2026-02-05
I00046,A00155,e5lbdeail5hiiatq.onion,descriptor_timing,,,0.83,2026-07-12
I00047,A00446,m5mvj5n26tgmcrwa.onion,default_banner,,host-47.example-clearnet.net,0.54,2026-01-16
I00048,A00428,5ak7ljht5yiklrla.onion,exposed_status_page,,host-48.example-clearnet.net,0.49,2025-08-02
I00049,A00474,bgfdmzvcncyyzvv7.onion,default_banner,,,0.59,2026-08-02
I00050,A00113,k76whoap7oj6kftd.onion,exposed_status_page,,host-50.example-clearnet.net,0.55,2026-02-06
I00051,A00486,uujdgmmkax7n5grc.onion,exposed_status_page,,,0.84,2025-04-03
I00052,A00223,ffzbyih3srlbj4eo.onion,exposed_status_page,,host-52.example-clearnet.net,0.73,2025-07-20
I00053,A00140,7i2xghmlavun7qxd.onion,default_banner,,host-53.example-clearnet.net,0.86,2025-07-27
I00054,A00221,smupxzvdi36fupru.onion,default_banner,,host-54.example-clearnet.net,0.56,2025-05-13
I00055,A00211,swf6ftruipevop2a.onion,ssl_cert_reuse,1B:54:5E:A6:8A:FB:DE:99:6C:65:5A:07:49:CE:F3:F7:44:CB:F2:29,host-55.example-clearnet.net,0.67,2025-10-30
I00056,A00483,755tjyu5toylce6g.onion,ssl_cert_reuse,28:57:12:7E:4C:17:9C:63:E0:57:CF:7D:7D:D3:EE:10:3E:8A:67:44,,0.74,2025-11-13
I00057,A00503,ajjpezrpbowdeeeb.onion,exposed_status_page,,,0.91,2025-04-20
I00058,A00575,dtul62falqj6rnrf.onion,default_banner,,host-58.example-clearnet.net,0.87,2026-04-26
I00059,A00219,4kylv72ji7krfitu.onion,default_banner,,host-59.example-clearnet.net,0.51,2026-08-11
I00060,A00025,gfjfgbhcfocxja2m.onion,default_banner,,,0.69,2026-05-25
I00061,A00164,6jyg36ez47wqhfs7.onion,descriptor_timing,,,0.57,2025-03-04
I00062,A00494,zyzswd4c7mhetrke.onion,ssl_cert_reuse,50:12:CF:99:6C:27:A6:A4:90:DA:62:6A:48:C5:8E:15:2F:E1:4A:67,,0.85,2026-08-18
I00063,A00073,74gbliazxkxe6sgr.onion,default_banner,,,0.43,2026-05-23
I00064,A00363,6dmxra3pugybtfqx.onion,default_banner,,,0.91,2025-06-03
I00065,A00091,sdynos33eg7sxo4z.onion,descriptor_timing,,,0.64,2025-06-06
I00066,A00222,mi5gq2y7y6ftpzt6.onion,descriptor_timing,,,0.45,2026-03-13
I00067,A00224,6dmfi2fpjhr7vkwl.onion,default_banner,,host-67.example-clearnet.net,0.61,2025-05-22
I00068,A00150,ikfq5fgwi2zwmmbz.onion,descriptor_timing,,host-68.example-clearnet.net,0.43,2026-07-05
I00069,A00443,7ntlklwmzhh4phqo.onion,ssl_cert_reuse,15:1C:26:D3:48:E3:7F:6F:48:11:49:74:80:A1:82:37:12:27:FE:48,,0.74,2025-03-12
I00070,A00041,4qli2uqvhdgaieho.onion,exposed_status_page,,,0.81,2026-03-11
I00071,A00095,65xo2ihaj7oved4d.onion,exposed_status_page,,,0.77,2026-08-09
I00072,A00501,35iypdkuocbwroey.onion,descriptor_timing,,host-72.example-clearnet.net,0.94,2025-07-29
I00073,A00196,fj7xvj3qn2hhnwur.onion,exposed_status_page,,host-73.example-clearnet.net,0.8,2026-02-18
I00074,A00431,pmezywo4nudfcnca.onion,descriptor_timing,,,0.76,2026-07-11
I00075,A00252,ot7uj7gjarksbl7s.onion,descriptor_timing,,host-75.example-clearnet.net,0.78,2025-08-05
I00076,A00510,c25qzpesvjm3igam.onion,descriptor_timing,,,0.6,2026-08-10
I00077,A00385,kursve43tktpl6pq.onion,descriptor_timing,,,0.83,2026-06-30
I00078,A00184,f326vatt2rnd77ld.onion,descriptor_timing,,host-78.example-clearnet.net,0.95,2026-01-14
I00079,A00539,bgfsnvck3wj6cu4o.onion,ssl_cert_reuse,EE:F3:13:71:BE:A8:30:06:3D:C4:26:56:3C:B2:84:86:48:54:90:D9,host-79.example-clearnet.net,0.53,2025-11-10
I00080,A00306,xkt4qg5mv4glxnpi.onion,exposed_status_page,,host-80.example-clearnet.net,0.52,2025-12-10
I00081,A00165,w6rfsw5s6pww5u7y.onion,descriptor_timing,,host-81.example-clearnet.net,0.6,2025-09-25
I00082,A00049,4v5d4thqh7tubggv.onion,default_banner,,host-82.example-clearnet.net,0.6,2026-01-31
I00083,A00410,lylolrfwfpscf5r5.onion,ssl_cert_reuse,6D:82:4A:83:A0:3C:8F:F6:FC:A3:E6:B4:B4:E9:E0:8C:AE:2E:7E:E2,host-83.example-clearnet.net,0.65,2026-07-02
I00084,A00050,4loazaflbmk3nxuo.onion,exposed_status_page,,host-84.example-clearnet.net,0.9,2026-03-27
I00085,A00039,hpzcmie33jireyxz.onion,descriptor_timing,,host-85.example-clearnet.net,0.47,2025-03-07
I00086,A00183,ksxrmkbmjvn2gtro.onion,ssl_cert_reuse,B2:AA:5E:F7:91:9D:DB:19:D7:55:75:DD:1C:C6:2B:5F:3E:ED:E9:DC,host-86.example-clearnet.net,0.78,2025-02-09
I00087,A00105,mv2ydqry7xwddq62.onion,exposed_status_page,,host-87.example-clearnet.net,0.5,2026-02-01
I00088,A00114,agox6rh5b6deqxa2.onion,default_banner,,host-88.example-clearnet.net,0.49,2025-03-30
I00089,A00156,7qfvfz2g7x3mfn2r.onion,exposed_status_page,,host-89.example-clearnet.net,0.43,2026-07-12
I00090,A00350,r5w4zkebg2pzcka2.onion,exposed_status_page,,host-90.example-clearnet.net,0.87,2026-06-27
I00091,A00154,dq6nrau5e5v5vnqz.onion,exposed_status_page,,,0.69,2025-01-07
I00092,A00599,vn77uezwjstvsdyr.onion,descriptor_timing,,,0.65,2026-07-03
I00093,A00588,o7cm6izih5knert4.onion,default_banner,,host-93.example-clearnet.net,0.87,2025-01-15
I00094,A00040,wirpatsptjr2qxkk.onion,ssl_cert_reuse,79:1B:77:3B:97:F5:D5:A9:A6:A5:29:BE:AF:CF:C0:59:91:23:96:51,host-94.example-clearnet.net,0.95,2026-06-23
I00095,A00207,ao6kg74ttewdxziz.onion,ssl_cert_reuse,F8:A5:CE:BA:94:57:59:F5:02:E5:FB:B4:B7:95:AC:57:E9:32:35:37,host-95.example-clearnet.net,0.87,2025-04-30
I00096,A00330,gz6m4q73lkclgvrt.onion,exposed_status_page,,host-96.example-clearnet.net,0.45,2025-09-20
I00097,A00146,xyeehgie4rj3rhef.onion,descriptor_timing,,host-97.example-clearnet.net,0.75,2026-06-21
I00098,A00139,exolcgb6oxwmeb3j.onion,ssl_cert_reuse,53:D9:18:C7:DA:05:06:33:D0:13:CC:CD:A1:BC:48:AA:A6:21:18:4B,host-98.example-clearnet.net,0.7,2025-04-07
I00099,A00502,p67k7uqwfsoajmsw.onion,exposed_status_page,,host-99.example-clearnet.net,0.59,2026-08-26
I00100,A00598,3bxydvbvwgt5gjlx.onion,ssl_cert_reuse,AF:A6:13:B8:14:31:83:31:E5:6C:5A:91:90:67:E6:5C:10:5E:56:BC,,0.78,2025-12-04
I00101,A00234,z2xs3idiynyvcaaq.onion,ssl_cert_reuse,DB:92:DB:32:D6:63:E7:71:C7:FF:E1:95:B3:A5:17:0D:BD:9B:F9:39,host-101.example-clearnet.net,0.46,2026-05-19
I00102,A00317,nzxgxwspsvlajgps.onion,exposed_status_page,,host-102.example-clearnet.net,0.5,2026-03-13
I00103,A00482,b7smpca5wdtpogx6.onion,ssl_cert_reuse,8C:42:A7:6C:71:33:D0:D8:2C:C2:7A:FD:72:3E:53:72:D1:E9:B7:B2,host-103.example-clearnet.net,0.8,2026-07-21
I00104,A00210,3nvs55iz4wcnuwcv.onion,exposed_status_page,,,0.44,2026-03-18
I00105,A00444,zafxugaegrjxl3rb.onion,default_banner,,host-105.example-clearnet.net,0.66,2025-12-28
I00106,A00267,xdtzds5vbsigyle5.onion,descriptor_timing,,,0.5,2025-05-14
I00107,A00276,7rnujthsorbhbta4.onion,default_banner,,host-107.example-clearnet.net,0.82,2025-12-01
I00108,A00081,rqbzbbvnlw6sz7ek.onion,ssl_cert_reuse,0D:6B:EE:7E:68:25:E1:79:BF:60:E3:31:5A:4C:AE:7E:76:92:E4:0B,host-108.example-clearnet.net,0.8,2026-01-25
I00109,A00132,x4ryzyj4gneisdgo.onion,exposed_status_page,,host-109.example-clearnet.net,0.68,2025-03-21
I00110,A00280,rin6drvxgmgoqo2y.onion,ssl_cert_reuse,26:B8:BF:EA:05:EB:01:23:23:A0:B5:A7:14:30:E2:1F:F1:F9:AD:78,host-110.example-clearnet.net,0.75,2025-09-02
I00111,A00308,4kpdcnc2noyg3djj.onion,exposed_status_page,,,0.6,2025-04-13
I00112,A00124,sq6pmonz6c43kbw2.onion,ssl_cert_reuse,A4:99:09:FE:30:14:EA:FD:FF:33:D8:14:96:DC:A6:CF:C6:1E:5E:4E,,0.6,2026-04-11
I00113,A00068,nglgmeopyd4k7szi.onion,exposed_status_page,,,0.8,2026-06-03
I00114,A00101,dfuudysdmnwyk3sd.onion,default_banner,,host-114.example-clearnet.net,0.58,2025-11-19
I00115,A00325,4iblqhbwnyj3mypu.onion,descriptor_timing,,host-115.example-clearnet.net,0.7,2025-04-20
I00116,A00042,pil6wqjbbxz5tejt.onion,exposed_status_page,,,0.52,2026-07-27
I00117,A00230,u26vtad6qo4w4j7d.onion,default_banner,,host-117.example-clearnet.net,0.56,2025-08-17
I00118,A00322,hulinchg7yxgtwdw.onion,default_banner,,,0.66,2025-06-01
I00119,A00570,6xmonv2x4mjtybhj.onion,default_banner,,,0.8,2026-02-18
I00120,A00429,3dedkvzk434fs3zm.onion,exposed_status_page,,,0.85,2025-12-20
I00121,A00277,iuzndadccphb4rhl.onion,descriptor_timing,,host-121.example-clearnet.net,0.4,2025-04-26
I00122,A00362,k7agf73jfv6ofruc.onion,exposed_status_page,,,0.68,2025-11-22
I00123,A00555,qjplf2cree6abhxh.onion,descriptor_timing,,,0.59,2025-10-26
I00124,A00511,olfm6c67ijrqgrzo.onion,exposed_status_page,,host-124.example-clearnet.net,0.9,2025-03-09
I00125,A00259,cwh47v6yfjpx4yyk.onion,descriptor_timing,,host-125.example-clearnet.net,0.45,2025-10-25
I00126,A00241,2chcw6krseffp6oa.onion,exposed_status_page,,,0.62,2026-02-11
I00127,A00370,2xrnhgoa2p46sdfq.onion,exposed_status_page,,host-127.example-clearnet.net,0.64,2025-01-15
I00128,A00135,3kxn57ksu4sqhwny.onion,descriptor_timing,,,0.67,2026-08-06
I00129,A00058,bg2klngqigglvpra.onion,default_banner,,host-129.example-clearnet.net,0.92,2025-09-20
I00130,A00192,ktgad2cbrfep22jc.onion,descriptor_timing,,host-130.example-clearnet.net,0.9,2025-08-16
I00131,A00074,iki23vcbh6dw2scr.onion,default_banner,,host-131.example-clearnet.net,0.54,2025-10-02
I00132,A00416,mtw53ivteokes3c6.onion,descriptor_timing,,host-132.example-clearnet.net,0.94,2025-08-27
I00133,A00007,kjm3hmhtlbdi6psa.onion,exposed_status_page,,host-133.example-clearnet.net,0.48,2026-06-14
I00134,A00399,hw4wr6wwkecngozo.onion,default_banner,,host-134.example-clearnet.net,0.8,2025-03-15
I00135,A00107,qjcyihqcjrpsig7h.onion,ssl_cert_reuse,A4:46:35:92:B5:EF:CB:B5:B7:48:5A:8E:BA:FC:59:5D:3E:A5:53:E1,host-135.example-clearnet.net,0.63,2025-10-03
I00136,A00517,uwijsof34idot3fb.onion,descriptor_timing,,host-136.example-clearnet.net,0.59,2025-06-25
I00137,A00568,733ehmg6yhv2xar6.onion,ssl_cert_reuse,E5:91:30:DE:C8:B8:1B:D1:51:2E:64:AC:A1:1B:70:B7:8D:A0:64:90,,0.91,2025-01-27
I00138,A00238,6aocvrlotn62pv2d.onion,descriptor_timing,,host-138.example-clearnet.net,0.9,2026-04-18
I00139,A00471,swbmurqiuodufmux.onion,ssl_cert_reuse,5D:80:06:EB:AC:1C:CD:86:0D:E6:FA:14:FE:6C:53:92:EE:8A:A9:32,host-139.example-clearnet.net,0.46,2025-09-04
I00140,A00159,r7slleesmgwa4c6g.onion,ssl_cert_reuse,41:46:95:B1:C2:70:7D:53:75:81:1E:4D:62:65:83:31:15:4B:3D:76,,0.92,2025-12-11
I00141,A00348,ntlhbxxgeohcodwj.onion,descriptor_timing,,host-141.example-clearnet.net,0.52,2026-05-16
I00142,A00265,voetagdkzioonj2f.onion,exposed_status_page,,,0.43,2026-03-17
I00143,A00382,bkfnbwhj5eedqq2u.onion,exposed_status_page,,host-143.example-clearnet.net,0.51,2026-05-22
I00144,A00585,ahzxqhprin2ng62f.onion,descriptor_timing,,,0.51,2025-03-19
I00145,A00013,7sqmx7trvmhire7x.onion,ssl_cert_reuse,D9:E0:9D:90:13:82:67:F1:8E:5C:43:C7:2A:EE:D2:BE:97:BA:37:C8,,0.53,2025-01-17
I00146,A00407,gysxi34ktps7cftk.onion,descriptor_timing,,host-146.example-clearnet.net,0.87,2025-03-27
I00147,A00571,cakxnntozvs4alh2.onion,exposed_status_page,,host-147.example-clearnet.net,0.7,2026-01-22
I00148,A00044,prcxun7lxnpentap.onion,descriptor_timing,,host-148.example-clearnet.net,0.81,2025-09-19
I00149,A00242,sxkw5rko74lbqpnr.onion,default_banner,,host-149.example-clearnet.net,0.59,2026-07-16
I00150,A00512,d3ecu5j2ujqzfuzu.onion,default_banner,,host-150.example-clearnet.net,0.92,2025-10-27
I00151,A00251,e2stzlrohsmv3apq.onion,ssl_cert_reuse,28:D5:BA:83:40:86:0A:A6:81:09:DE:90:83:29:AE:B6:7A:2B:E8:D0,host-151.example-clearnet.net,0.95,2026-05-30
I00152,A00589,bmflq3wma7jlxvje.onion,default_banner,,,0.84,2026-01-26
I00153,A00264,ufa5zxhxjbnvcoz2.onion,ssl_cert_reuse,DF:89:D8:23:7B:5F:00:C4:24:14:9A:0E:C5:9C:88:3B:A3:EF:87:91,host-153.example-clearnet.net,0.74,2025-03-05
I00154,A00123,kb2ornkot3mqfxkg.onion,exposed_status_page,,host-154.example-clearnet.net,0.69,2025-01-01
I00155,A00378,7cscnnkymglvg543.onion,exposed_status_page,,host-155.example-clearnet.net,0.43,2026-01-10
I00156,A00203,advf3xauipvqhb5o.onion,descriptor_timing,,,0.48,2026-07-19
I00157,A00402,fsssgehzq2qr6c2t.onion,descriptor_timing,,,0.84,2025-11-02
I00158,A00218,m57nw37esvv2lfa2.onion,ssl_cert_reuse,90:6F:A6:BC:C4:6A:9C:EB:76:EF:4A:F9:1A:E6:EC:04:BB:40:14:8C,host-158.example-clearnet.net,0.44,2025-05-11
I00159,A00320,vaqqxhhaxxz7i6qe.onion,default_banner,,,0.69,2025-07-20
I00160,A00504,j3yiwl6f3sqqkq62.onion,exposed_status_page,,host-160.example-clearnet.net,0.53,2026-02-10
I00161,A00250,c5yb3sidijlwxior.onion,ssl_cert_reuse,C9:E9:F8:03:1F:D3:70:20:7A:C2:88:56:C3:3D:EF:8E:E6:27:68:33,host-161.example-clearnet.net,0.87,2025-05-30
I00162,A00472,5ipvw6pjz6e67udl.onion,default_banner,,host-162.example-clearnet.net,0.82,2025-03-15
I00163,A00448,ehzalhlvwrkxdrpt.onion,default_banner,,,0.82,2025-09-26
I00164,A00591,3mbvo6tb33hyr3r3.onion,descriptor_timing,,,0.46,2026-06-26
I00165,A00108,cjbupm57voejr4qp.onion,exposed_status_page,,,0.77,2025-06-18
I00166,A00441,gkzwpvokhgb2siro.onion,exposed_status_page,,host-166.example-clearnet.net,0.93,2025-02-07
I00167,A00144,phwhv5mgtmbwzhyb.onion,default_banner,,host-167.example-clearnet.net,0.64,2025-09-07
I00168,A00316,z2cxmrquksbuseok.onion,exposed_status_page,,host-168.example-clearnet.net,0.46,2025-07-30
I00169,A00314,ikxv3bdgdhsvt6p3.onion,default_banner,,,0.83,2025-10-19
I00170,A00576,dkjrd2qlat3mnkbd.onion,exposed_status_page,,host-170.example-clearnet.net,0.94,2026-06-22
I00171,A00562,qczgrur3cdgeszua.onion,exposed_status_page,,host-171.example-clearnet.net,0.87,2025-02-08
I00172,A00528,pxlt4lmbay4lkuks.onion,default_banner,,host-172.example-clearnet.net,0.69,2025-12-31
I00173,A00151,u5l34365zcvfi47i.onion,exposed_status_page,,host-173.example-clearnet.net,0.59,2026-06-16
I00174,A00463,gm6cl3ldbvkdpw4s.onion,default_banner,,host-174.example-clearnet.net,0.91,2025-02-01
I00175,A00080,xvplxaxbqiy4j32y.onion,exposed_status_page,,,0.9,2025-02-04
I00176,A00182,czm4zoev2btxfpkn.onion,ssl_cert_reuse,27:E3:79:71:C7:F1:34:DF:F0:E8:28:45:87:29:8D:51:80:20:F8:00,,0.59,2026-01-19
I00177,A00188,oq6w6yuen3dgngoi.onion,ssl_cert_reuse,0F:07:59:E4:E3:44:9C:79:82:9D:7A:04:B0:38:DE:E6:B6:DD:CD:D2,host-177.example-clearnet.net,0.42,2026-04-30
I00178,A00127,5wefb4kqnug26agb.onion,exposed_status_page,,host-178.example-clearnet.net,0.85,2026-08-16
I00179,A00419,t5jus46yhk3voesa.onion,ssl_cert_reuse,15:7F:DF:6D:0B:2E:27:C9:8A:57:D8:FB:24:9C:25:AB:AD:57:27:38,,0.87,2026-01-28
I00180,A00373,cmxgn6npgq2b3evb.onion,default_banner,,host-180.example-clearnet.net,0.9,2026-03-21
I00181,A00532,zfe5zer7ak4qdqye.onion,ssl_cert_reuse,3E:58:E3:8D:B7:8C:25:81:02:41:4B:B9:3E:5C:F7:24:69:18:E5:22,host-181.example-clearnet.net,0.6,2026-03-11
I00182,A00162,dj26etczjbyme4yq.onion,descriptor_timing,,host-182.example-clearnet.net,0.73,2026-07-09
I00183,A00351,ws42arfvyogxdpv7.onion,ssl_cert_reuse,D5:58:27:48:5F:4F:DA:23:91:51:0F:63:0C:B5:CF:FC:ED:73:E2:09,,0.54,2025-03-08
I00184,A00368,czizq7lmf6yfgq4i.onion,default_banner,,host-184.example-clearnet.net,0.47,2026-02-26
I00185,A00412,xpa4stcgrmz3qq3a.onion,exposed_status_page,,host-185.example-clearnet.net,0.77,2025-07-12
I00186,A00595,jrmhfuqlzsw7i4kz.onion,ssl_cert_reuse,F3:F0:EA:4A:26:40:E3:7E:68:A6:87:A9:F5:FE:26:9B:19:74:C2:CF,host-186.example-clearnet.net,0.58,2026-07-02
I00187,A00189,6tzx4y5zprcwjc5d.onion,default_banner,,host-187.example-clearnet.net,0.56,2025-03-08
I00188,A00161,yuf3mw77ja5gp2f3.onion,default_banner,,host-188.example-clearnet.net,0.92,2025-12-18
I00189,A00201,w6qiyj754nbim3cp.onion,ssl_cert_reuse,DB:1E:BB:2F:74:1A:2F:E2:E8:88:56:33:28:1F:73:3E:BD:75:CF:08,,0.81,2026-03-22
I00190,A00573,42nszvq5iindmbvo.onion,descriptor_timing,,host-190.example-clearnet.net,0.57,2026-02-12
I00191,A00175,mawcukz227yx2rbz.onion,ssl_cert_reuse,06:07:E9:10:D7:48:88:17:37:76:FE:85:85:A2:EF:BD:AC:A8:D3:2C,host-191.example-clearnet.net,0.54,2026-03-21
I00192,A00301,pydwkqu4vf4cysxj.onion,descriptor_timing,,host-192.example-clearnet.net,0.81,2026-06-07
I00193,A00387,pw3k7n6gffjazasw.onion,default_banner,,host-193.example-clearnet.net,0.53,2026-06-25
I00194,A00536,nk62ghpgpoywrj4p.onion,ssl_cert_reuse,D9:B7:FC:D3:83:12:7F:95:BF:23:DF:39:45:EB:93:1A:EA:DA:94:0D,host-194.example-clearnet.net,0.91,2025-07-05
I00195,A00098,rrrotuqjb3b7qmml.onion,default_banner,,,0.69,2026-02-05
I00196,A00104,6s2mpdpsry5ci7ya.onion,descriptor_timing,,,0.49,2025-06-02
I00197,A00266,mhgklz24wxwom6nu.onion,descriptor_timing,,host-197.example-clearnet.net,0.88,2026-06-30
I00198,A00298,fqc5irneeac7bx7p.onion,descriptor_timing,,host-198.example-clearnet.net,0.82,2025-08-02
I00199,A00569,oqoszoes4yhktcyj.onion,exposed_status_page,,host-199.example-clearnet.net,0.71,2025-08-01
I00200,A00071,eiorjkyq6y2udpae.onion,default_banner,,,0.78,2025-11-18
I00201,A00540,ka5lt2mgeprmofmj.onion,ssl_cert_reuse,3D:0F:C4:CA:0D:90:6D:90:CE:55:BE:57:24:31:E5:C9:4F:5A:2C:1D,host-201.example-clearnet.net,0.67,2025-03-28
I00202,A00056,zunwrpq3tau7ef7f.onion,descriptor_timing,,,0.52,2025-02-19
I00203,A00215,cycof6ri7qshypts.onion,exposed_status_page,,,0.75,2026-03-13
I00204,A00391,ivc3ycmydk2uhyou.onion,exposed_status_page,,host-204.example-clearnet.net,0.72,2026-02-06
I00205,A00300,7u773f3rdrkhaba3.onion,exposed_status_page,,host-205.example-clearnet.net,0.82,2026-01-07
I00206,A00063,ymxns62lnzjjjyd5.onion,ssl_cert_reuse,7A:FC:D9:7A:CB:37:9E:A9:78:CE:EF:7E:2B:5F:67:11:D4:FE:4E:22,,0.58,2026-02-14
I00207,A00117,r7ek37o2vd6nphqb.onion,descriptor_timing,,,0.64,2025-01-04
I00208,A00361,mby7udg4vuutas7y.onion,descriptor_timing,,host-208.example-clearnet.net,0.7,2025-07-22
